transaction_id,amount,transaction_type,merchant_category,customer_age,customer_tenure_months,transactions_last_24h,device_type,location_match,international_transaction,is_fraud
T100052,336.61,Card,Travel,51,21,13,Web,1,0,1
T100053,270.26,Card,Food,42,98,19,Web,1,0,0
T100054,109.33,NEFT,Travel,67,68,21,Android,0,0,0
T100055,305.93,UPI,Travel,46,25,19,iOS,1,0,0
T100056,11.12,UPI,Food,74,79,10,Android,0,0,0
T100057,26.18,UPI,Utility,56,68,3,Android,1,0,0
T100058,5.55,NEFT,Utility,48,45,14,Android,1,0,0
T100059,47.22,Card,Travel,73,60,19,iOS,0,0,0
T100060,59.06,Card,Food,64,12,5,iOS,1,0,0
T100061,37.99,UPI,Food,60,32,5,Android,1,0,0
T100062,211.75,UPI,Electronics,67,96,20,Android,1,0,0
T100063,52.95,UPI,Utility,40,92,17,Android,1,1,0
T100064,39.58,UPI,Retail,61,13,21,Android,0,0,1
T100065,93.89,Card,Utility,55,31,10,Android,1,0,0
T100066,18.23,UPI,Utility,37,78,5,Android,1,0,0
T100067,194.46,UPI,Electronics,40,20,4,iOS,1,0,0
T100068,9.3,IMPS,Retail,62,18,6,Android,1,0,0
T100069,520.1,UPI,Electronics,69,93,4,Android,1,0,0
T100070,177.54,Card,Retail,33,60,7,Android,1,0,0
T100071,26.58,NEFT,Travel,67,63,7,Web,1,0,0
T100072,0.66,UPI,Retail,59,6,18,iOS,1,0,0
T100073,202.79,Card,Electronics,72,32,3,iOS,1,0,0
T100074,147.25,NEFT,Utility,25,93,1,Android,1,0,0
T100075,156.68,IMPS,Retail,67,43,24,iOS,1,0,0
T100076,177.03,UPI,Retail,38,2,4,Android,1,0,0
T100077,9.23,IMPS,Food,18,60,6,iOS,1,0,0
T100078,53.27,Card,Utility,72,23,9,Web,1,0,0
T100079,14.78,UPI,Travel,25,83,22,iOS,1,1,0
T100080,238.62,Card,Electronics,46,31,14,Web,1,0,0
T100081,117.16,IMPS,Travel,49,115,12,iOS,0,0,0
T100082,48.22,Card,Utility,55,5,20,Android,1,0,1
T100083,7.88,UPI,Retail,22,83,24,Web,1,0,0
T100084,44.7,Card,Retail,64,34,4,Android,0,0,0
T100085,47.2,UPI,Utility,39,10,21,Android,0,0,0
T100086,156.95,UPI,Retail,64,89,24,Android,1,0,0
T100087,121.79,UPI,Retail,51,2,12,Android,1,0,0
T100088,261.87,UPI,Retail,18,11,10,Android,1,0,0
T100089,76.69,UPI,Electronics,72,50,22,Android,1,0,0
T100090,15.28,UPI,Electronics,72,31,7,Android,1,0,0
T100091,149.9,Card,Food,43,56,3,iOS,1,1,1
T100092,171.65,UPI,Travel,60,79,23,Android,1,0,0
T100093,98.87,UPI,Utility,27,73,14,Android,1,0,0
T100094,176.87,NEFT,Utility,47,87,24,iOS,1,0,0
T100095,81.7,Card,Utility,67,83,10,Android,1,0,0
T100096,88.76,Card,Food,35,9,16,iOS,1,0,1
T100097,66.94,UPI,Electronics,34,99,16,iOS,1,0,0
T100098,3.09,UPI,Food,43,21,22,Web,1,0,1
T100099,13.7,UPI,Utility,25,73,10,iOS,1,0,0
T100100,3.83,UPI,Travel,64,28,13,Android,1,0,0
T100101,121.41,UPI,Retail,57,62,6,iOS,1,0,0
T100102,45.29,UPI,Electronics,66,110,12,Android,1,0,0
T100103,85.25,UPI,Electronics,29,115,9,Android,1,0,0
T100104,285.75,UPI,Food,44,7,13,iOS,1,0,0
T100105,34.41,Card,Electronics,25,80,4,Android,1,0,0
T100106,63.39,UPI,Utility,42,16,24,iOS,1,0,0
T100107,169.05,UPI,Utility,63,97,11,Web,1,0,0
T100108,31.18,Card,Food,21,4,20,Web,1,0,0
T100109,9.61,Card,Utility,50,4,18,Web,1,0,0
T100110,41.06,UPI,Travel,18,103,11,Android,0,0,0
T100111,21.1,NEFT,Food,36,40,21,Android,0,0,0
T100112,318.59,Card,Travel,48,17,4,iOS,1,0,0
T100113,198.11,UPI,Retail,33,101,18,Android,1,0,0
T100114,120.42,NEFT,Travel,31,103,1,iOS,1,0,0
T100115,246.18,IMPS,Retail,70,52,7,iOS,1,0,0
T100116,195.36,UPI,Retail,65,93,6,iOS,1,0,0
T100117,24.78,UPI,Travel,22,52,15,Android,1,0,0
T100118,267.7,NEFT,Food,58,36,18,Android,1,0,0
T100119,93.01,Card,Utility,43,38,24,Android,1,0,0
T100120,197.68,UPI,Utility,45,103,11,Android,1,0,0
T100121,271.71,UPI,Retail,19,50,20,Web,1,1,0
T100122,45.93,UPI,Retail,67,63,24,Android,1,1,0
T100123,13.99,Card,Food,23,101,15,Android,1,0,1
T100124,31.04,Card,Electronics,26,116,16,Android,1,0,0
T100125,66.85,UPI,Travel,50,63,7,iOS,1,0,0
T100126,204.46,Card,Retail,58,62,21,iOS,0,0,0
T100127,236.56,Card,Utility,42,99,10,Android,0,0,0
T100128,0.84,UPI,Food,65,7,12,Android,1,0,0
T100129,85.79,UPI,Travel,30,27,24,Android,0,1,0
T100130,64.83,Card,Food,26,92,14,Android,1,0,0
T100131,30.14,NEFT,Travel,70,86,5,iOS,1,0,0
T100132,15.32,Card,Travel,30,14,21,iOS,0,0,0
T100133,49.43,Card,Retail,48,71,18,Android,1,0,0
T100134,343.57,UPI,Food,58,101,5,Android,1,1,1
T100135,46.85,UPI,Food,28,86,3,Web,1,0,0
T100136,87.77,Card,Utility,21,5,23,Android,1,0,0
T100137,145.69,UPI,Utility,51,55,5,iOS,1,0,0
T100138,54.24,UPI,Retail,55,2,24,Android,0,0,1
T100139,428.14,UPI,Retail,63,62,17,Android,1,0,1
T100140,393.84,UPI,Electronics,21,91,19,Android,1,0,0
T100141,34.81,UPI,Utility,55,21,19,Android,1,0,0
T100142,82.52,UPI,Travel,36,118,21,Web,1,0,0
T100143,42.95,UPI,Food,23,102,12,Android,1,0,0
T100144,40.23,UPI,Retail,51,79,9,Android,1,0,0
T100145,4.51,NEFT,Food,35,21,1,Android,1,0,0
T100146,112.86,Card,Food,30,10,18,Android,1,0,0
T100147,83.82,Card,Electronics,58,87,21,Android,1,0,0
T100148,6.34,NEFT,Utility,40,58,4,Android,1,0,0
T100149,39.2,Card,Retail,36,39,10,iOS,1,0,0
T100150,286.66,UPI,Food,62,5,7,Android,1,0,0
T100151,32.86,Card,Retail,28,65,22,Android,1,0,0
T100152,18.78,Card,Travel,18,13,23,Web,1,0,1
T100153,80.67,Card,Electronics,41,85,1,Android,1,0,0
T100154,509.28,UPI,Travel,71,90,17,Web,1,0,0
T100155,33.26,UPI,Retail,24,114,24,Android,1,0,0
T100156,133.82,UPI,Retail,42,109,2,Web,1,0,0
T100157,172.07,UPI,Utility,38,85,11,iOS,1,0,0
T100158,32.56,Card,Food,32,53,9,Web,1,1,1
T100159,156.33,Card,Food,18,82,7,Web,0,0,0
T100160,55.02,UPI,Travel,29,101,22,Android,1,0,0
T100161,120.06,IMPS,Electronics,24,45,17,Web,1,0,0
T100162,120.46,Card,Food,32,32,17,Android,1,0,0
T100163,92.09,UPI,Utility,38,36,2,Android,1,0,0
T100164,11.36,UPI,Travel,36,81,6,Android,1,0,0
T100165,216.44,UPI,Travel,46,99,14,Android,1,1,1
T100166,46.42,UPI,Utility,42,113,6,Android,0,1,0
T100167,24.77,UPI,Electronics,50,60,2,iOS,1,0,0
T100168,5.0,UPI,Utility,66,11,1,Android,1,0,0
T100169,107.25,UPI,Electronics,49,63,10,iOS,1,0,0
T100170,135.82,UPI,Utility,66,21,21,Web,1,1,1
T100171,2.01,NEFT,Utility,52,52,5,Android,1,1,1
T100172,86.12,UPI,Retail,61,55,2,Android,0,0,1
T100173,30.82,Card,Travel,55,117,22,Android,1,0,0
T100174,124.33,UPI,Utility,43,26,16,Android,1,0,0
T100175,22.99,IMPS,Utility,28,68,2,Android,1,0,0
T100176,140.91,UPI,Food,52,34,10,Android,1,0,0
T100177,58.68,UPI,Travel,25,52,2,Android,1,0,0
T100178,331.24,IMPS,Food,63,112,16,Web,1,0,0
T100179,17.75,NEFT,Travel,31,82,16,iOS,1,0,0
T100180,50.06,NEFT,Food,27,104,19,Android,1,0,1
T100181,14.45,UPI,Utility,19,99,7,iOS,1,1,0
T100182,310.34,UPI,Utility,63,105,22,Android,1,0,0
T100183,251.8,Card,Retail,26,93,12,Android,1,0,0
T100184,35.8,IMPS,Food,20,52,24,iOS,1,0,0
T100185,129.45,Card,Electronics,38,29,15,Android,1,0,1
T100186,203.94,Card,Retail,43,38,8,Android,1,0,0
T100187,97.22,UPI,Food,25,42,6,Web,1,0,0
T100188,90.51,NEFT,Food,65,21,10,Web,1,0,0
T100189,33.23,UPI,Retail,19,42,3,iOS,1,0,0
T100190,11.73,UPI,Utility,23,13,19,iOS,1,0,0
T100191,273.01,UPI,Food,45,113,17,iOS,1,0,1
T100192,276.81,Card,Utility,70,105,7,Android,1,0,0
T100193,120.32,UPI,Retail,46,64,21,Android,1,0,0
T100194,49.69,UPI,Utility,43,17,20,Android,1,0,1
T100195,51.55,Card,Travel,42,9,4,Android,1,0,0
T100196,155.34,UPI,Electronics,29,41,14,Android,1,0,0
T100197,272.89,Card,Food,22,1,20,Android,1,0,0
T100198,261.74,UPI,Electronics,51,2,22,Web,1,0,0
T100199,181.63,Card,Utility,65,60,15,Web,1,0,0
T100200,123.28,Card,Food,54,48,24,iOS,1,0,0
T100201,10.55,UPI,Utility,32,29,8,Android,1,0,0
T100202,21.16,UPI,Travel,61,97,21,Web,0,0,0
T100203,274.59,UPI,Retail,53,10,15,Android,1,1,1
T100204,111.9,UPI,Food,32,114,22,iOS,0,0,0
T100205,1.11,IMPS,Travel,60,58,20,Android,1,0,1
T100206,12.84,UPI,Travel,65,60,14,iOS,1,0,0
T100207,130.7,NEFT,Food,40,104,9,Android,1,0,0
T100208,0.61,UPI,Utility,23,21,8,Web,1,0,0
T100209,21.04,Card,Travel,63,28,17,Web,1,0,0
T100210,95.48,NEFT,Electronics,67,75,2,Android,1,1,0
T100211,141.28,Card,Travel,61,119,24,Android,1,0,0
T100212,126.65,Card,Utility,60,34,3,Web,1,0,0
T100213,30.47,UPI,Utility,62,8,8,Android,0,0,1
T100214,149.45,UPI,Electronics,38,59,12,Web,1,0,0
T100215,32.5,IMPS,Travel,40,86,1,iOS,1,0,0
T100216,47.24,NEFT,Utility,60,72,10,Android,1,0,0
T100217,164.68,IMPS,Food,72,49,20,Android,1,0,1
T100218,125.85,UPI,Retail,33,79,3,Android,1,0,0
T100219,227.03,Card,Retail,64,17,6,iOS,1,0,0
T100220,128.62,IMPS,Retail,70,60,7,Android,1,0,0
T100221,100.81,UPI,Travel,32,87,20,Android,0,0,0
T100222,11.8,UPI,Electronics,42,88,23,Android,1,0,0
T100223,55.01,Card,Utility,53,45,18,iOS,1,0,0
T100224,36.98,Card,Food,28,83,11,Web,1,0,0
T100225,33.56,NEFT,Food,68,69,19,Web,1,0,0
T100226,433.48,UPI,Travel,32,32,5,Android,1,0,1
T100227,59.93,NEFT,Retail,21,44,19,Web,1,0,0
T100228,267.13,UPI,Travel,38,65,11,iOS,1,0,0
T100229,119.68,UPI,Electronics,30,87,24,iOS,1,1,0
T100230,190.06,UPI,Electronics,39,101,12,Web,1,0,0
T100231,83.81,NEFT,Utility,36,8,10,Android,1,0,0
T100232,103.22,Card,Utility,51,77,8,Android,1,0,0
T100233,81.4,Card,Electronics,31,72,24,Web,1,1,1
T100234,26.07,UPI,Electronics,21,87,9,Android,0,0,0
T100235,153.81,NEFT,Electronics,65,43,4,Web,1,0,0
T100236,39.55,UPI,Travel,70,1,5,Web,0,0,1
T100237,2.95,NEFT,Electronics,69,109,21,Android,1,0,1
T100238,124.44,UPI,Food,63,51,8,Web,1,0,0
T100239,23.39,UPI,Retail,44,24,23,Android,1,1,0
T100240,338.53,Card,Electronics,46,99,9,Android,1,0,1
T100241,369.31,UPI,Retail,64,24,15,iOS,1,0,0
T100242,295.62,Card,Travel,45,17,15,Web,1,1,1
T100243,55.47,Card,Retail,52,5,16,Android,1,0,0
T100244,1.87,UPI,Travel,25,20,14,Android,1,0,0
T100245,316.26,NEFT,Food,33,21,8,iOS,0,0,1
T100246,67.07,UPI,Travel,59,104,18,iOS,1,0,0
T100247,408.1,Card,Travel,53,58,10,iOS,1,0,0
T100248,397.65,IMPS,Utility,47,31,20,Android,1,0,1
T100249,230.09,Card,Electronics,35,110,6,Android,1,0,0
T100250,41.85,UPI,Electronics,19,100,12,Android,1,0,0
T100251,58.36,IMPS,Food,66,11,2,Web,0,0,0
T100252,228.57,Card,Food,30,52,7,Android,1,0,0
T100253,45.74,UPI,Electronics,21,15,16,Android,1,1,1
T100254,22.29,UPI,Utility,43,83,3,Web,1,0,0
T100255,97.65,NEFT,Electronics,42,7,13,Android,1,1,0
T100256,330.16,Card,Utility,47,115,3,Web,1,0,0
T100257,142.9,Card,Food,28,28,18,iOS,1,0,0
T100258,101.29,NEFT,Retail,24,51,11,Web,1,0,0
T100259,12.27,NEFT,Food,48,107,8,Android,1,0,0
T100260,114.54,UPI,Food,61,58,6,Android,0,0,0
T100261,553.27,UPI,Travel,27,5,1,iOS,1,0,1
T100262,18.11,UPI,Travel,56,5,1,Web,1,0,0
T100263,87.66,Card,Travel,30,94,23,iOS,1,0,0
T100264,251.83,UPI,Travel,48,118,8,Android,1,0,0
T100265,162.0,Card,Utility,24,96,5,iOS,0,0,0
T100266,143.29,NEFT,Electronics,73,8,16,iOS,1,0,0
T100267,145.47,NEFT,Retail,66,64,11,iOS,1,0,0
T100268,53.46,UPI,Food,59,10,5,iOS,1,0,0
T100269,41.71,NEFT,Utility,59,38,4,Web,0,0,0
T100270,198.88,UPI,Retail,73,111,6,iOS,1,0,0
T100271,199.36,NEFT,Utility,53,96,14,Android,1,0,0
T100272,242.15,UPI,Utility,37,112,22,Android,1,0,0
T100273,293.35,UPI,Food,21,92,19,Android,1,0,0
T100274,85.93,NEFT,Electronics,71,81,9,Android,1,0,0
T100275,83.54,UPI,Travel,24,95,12,Android,1,0,0
T100276,192.11,UPI,Electronics,71,8,11,Android,1,0,0
T100277,125.97,Card,Food,18,104,14,Android,1,0,0
T100278,145.27,Card,Food,61,25,23,Android,1,0,0
T100279,190.63,Card,Food,73,73,16,Web,1,0,0
T100280,264.88,Card,Retail,62,66,1,Web,1,0,0
T100281,49.5,Card,Electronics,59,79,13,Android,1,0,0
T100282,56.51,UPI,Electronics,64,50,23,Web,1,0,1
T100283,11.84,UPI,Utility,30,67,21,Android,1,0,0
T100284,103.61,UPI,Utility,72,49,21,Android,0,0,1
T100285,4.39,IMPS,Utility,39,36,13,Android,0,0,0
T100286,75.19,Card,Food,71,68,2,Android,1,0,0
T100287,93.88,UPI,Electronics,38,78,4,iOS,1,0,0
T100288,40.52,Card,Food,39,105,6,iOS,0,0,0
T100289,107.24,IMPS,Retail,45,41,23,Android,1,0,0
T100290,3.72,UPI,Utility,26,89,5,Android,1,0,0
T100291,4.57,Card,Food,43,119,3,Android,1,0,0
T100292,207.52,Card,Food,26,62,1,Android,1,0,0
T100293,53.59,Card,Retail,32,114,4,Android,0,0,1
T100294,16.31,UPI,Travel,27,10,20,Android,1,0,0
T100295,88.64,NEFT,Electronics,41,21,2,Web,1,0,0
T100296,176.36,IMPS,Travel,74,36,5,Web,1,0,0
T100297,29.17,Card,Utility,59,12,3,Android,1,0,0
T100298,117.03,Card,Food,25,91,9,Web,1,0,0
T100299,10.71,IMPS,Retail,41,104,20,Android,1,0,0
T100300,6.37,Card,Retail,33,2,6,Android,1,1,0
T100301,90.95,UPI,Electronics,66,118,18,Android,1,0,0
T100302,93.35,Card,Travel,43,13,6,iOS,1,0,0
T100303,121.74,Card,Electronics,44,53,19,Web,1,0,0
T100304,155.4,UPI,Food,54,32,12,iOS,0,0,0
T100305,446.83,Card,Electronics,21,95,11,Android,1,0,0
T100306,87.15,IMPS,Retail,67,16,2,iOS,1,0,0
T100307,46.8,IMPS,Retail,41,32,15,Android,1,0,0
T100308,190.28,Card,Utility,36,32,12,Web,1,0,0
T100309,37.9,UPI,Utility,53,98,12,Android,1,0,0
T100310,69.36,IMPS,Food,56,11,9,Android,1,0,0
T100311,9.8,NEFT,Travel,27,10,21,iOS,1,0,0
T100312,3.08,UPI,Electronics,42,15,24,iOS,1,0,1
T100313,394.49,IMPS,Food,35,17,2,Android,1,0,1
T100314,216.93,NEFT,Utility,36,40,22,iOS,0,0,0
T100315,142.88,Card,Electronics,53,18,3,Android,1,0,0
T100316,63.1,Card,Utility,27,55,12,iOS,1,0,0
T100317,22.84,UPI,Electronics,50,73,16,Web,1,1,0
T100318,20.41,UPI,Travel,72,25,21,Web,1,0,0
T100319,34.56,UPI,Food,67,104,24,iOS,1,0,0
T100320,95.61,NEFT,Electronics,22,59,1,Android,1,0,0
T100321,150.46,UPI,Retail,64,78,21,Android,1,0,0
T100322,129.53,UPI,Retail,66,89,3,iOS,1,0,0
T100323,39.41,UPI,Electronics,52,114,20,Android,1,0,1
T100324,371.77,Card,Electronics,61,22,2,Android,0,0,1
T100325,160.68,IMPS,Electronics,51,116,9,Android,0,0,0
T100326,96.99,UPI,Retail,50,30,19,Android,1,0,1
T100327,113.52,UPI,Retail,72,84,15,iOS,0,0,0
T100328,65.28,Card,Electronics,38,85,18,Android,1,0,0
T100329,34.16,Card,Utility,34,44,11,iOS,1,0,0
T100330,52.8,UPI,Utility,39,32,23,Android,1,0,1
T100331,170.18,Card,Travel,65,51,16,Android,1,0,0
T100332,1.74,UPI,Food,54,46,22,Android,1,0,0
T100333,14.81,UPI,Utility,32,113,17,Android,1,0,0
T100334,5.65,Card,Retail,52,21,5,Android,0,0,1
T100335,4.99,UPI,Utility,45,99,12,iOS,1,1,0
T100336,232.1,IMPS,Travel,24,32,11,Android,1,1,0
T100337,145.95,UPI,Travel,49,94,15,Web,1,0,0
T100338,77.13,Card,Food,28,119,3,Android,1,0,0
T100339,12.35,Card,Utility,27,39,1,Android,1,0,0
T100340,81.18,UPI,Retail,26,113,20,iOS,0,0,1
T100341,76.97,Card,Retail,31,12,16,Android,1,0,0
T100342,22.82,UPI,Electronics,30,105,2,Android,1,0,0
T100343,68.27,IMPS,Retail,74,47,2,Android,1,0,0
T100344,61.0,UPI,Food,42,18,3,Android,0,0,0
T100345,114.81,UPI,Food,19,21,8,Web,1,0,0
T100346,120.97,UPI,Retail,52,13,24,Android,1,0,0
T100347,5.56,IMPS,Retail,24,21,15,iOS,1,0,0
T100348,56.33,Card,Electronics,38,8,7,Web,1,0,0
T100349,117.97,Card,Retail,35,46,6,Android,0,0,0
T100350,83.93,UPI,Electronics,20,104,9,Web,1,0,0
T100351,232.96,Card,Electronics,59,110,20,Android,1,0,0
T100352,129.0,UPI,Retail,71,7,1,Web,1,0,0
T100353,21.34,NEFT,Travel,56,23,8,Android,1,0,0
T100354,8.78,UPI,Travel,58,108,23,iOS,0,0,0
T100355,123.41,UPI,Electronics,66,96,23,Android,1,0,0
T100356,3.22,UPI,Retail,28,75,3,Android,1,0,0
T100357,105.76,Card,Travel,56,86,4,iOS,1,0,0
T100358,338.07,Card,Retail,41,22,15,iOS,1,0,1
T100359,102.81,UPI,Retail,63,107,6,Android,1,0,0
T100360,58.96,NEFT,Retail,36,89,15,Android,1,0,0
T100361,123.7,Card,Utility,21,22,21,iOS,1,0,0
T100362,73.55,Card,Retail,43,92,3,iOS,1,0,0
T100363,94.66,UPI,Utility,55,29,21,Web,1,1,0
T100364,340.58,UPI,Electronics,59,13,21,iOS,1,0,1
T100365,58.55,Card,Travel,49,82,14,Web,1,0,0
T100366,389.89,UPI,Travel,56,2,20,iOS,0,0,1
T100367,282.91,UPI,Travel,62,29,14,Android,1,0,0
T100368,26.15,NEFT,Travel,63,85,4,Android,1,1,1
T100369,8.63,IMPS,Travel,53,79,12,iOS,1,0,0
T100370,12.75,UPI,Travel,57,52,17,iOS,1,0,0
T100371,2.21,UPI,Travel,54,27,7,Android,1,0,0
T100372,11.9,Card,Electronics,50,50,9,Android,1,0,0
T100373,137.86,UPI,Retail,53,95,3,Web,1,0,0
T100374,8.86,UPI,Food,20,79,13,Android,1,0,0
T100375,46.1,UPI,Utility,26,115,15,Android,1,0,0
T100376,223.62,Card,Food,25,23,18,Android,1,1,0
T100377,2.83,Card,Food,50,88,19,Android,1,0,1
T100378,202.14,UPI,Retail,23,44,1,Android,1,0,0
T100379,39.73,UPI,Retail,58,77,6,Android,1,0,0
T100380,15.09,UPI,Retail,56,22,23,Android,1,0,0
T100381,143.18,Card,Travel,21,43,2,iOS,1,0,0
T100382,118.97,UPI,Electronics,30,37,24,Android,1,0,1
T100383,251.93,UPI,Travel,66,61,14,Web,1,0,0
T100384,159.4,NEFT,Electronics,19,97,6,Web,0,0,0
T100385,195.24,UPI,Electronics,22,56,14,Android,1,0,0
T100386,39.76,Card,Food,61,3,4,iOS,1,1,0
T100387,23.44,UPI,Food,44,63,21,Android,1,0,0
T100388,166.65,UPI,Electronics,49,118,8,Web,0,0,1
T100389,197.31,UPI,Electronics,38,19,3,Android,1,0,0
T100390,558.84,Card,Travel,25,23,19,iOS,1,0,1
T100391,63.85,NEFT,Travel,55,29,14,iOS,0,0,0
T100392,55.83,NEFT,Food,25,30,20,Android,1,0,0
T100393,179.75,UPI,Retail,67,39,17,Android,1,0,0
T100394,50.01,Card,Electronics,20,108,8,iOS,0,0,1
T100395,320.42,UPI,Travel,71,111,24,iOS,1,0,1
T100396,234.58,UPI,Food,61,25,14,Android,1,0,1
T100397,67.24,NEFT,Travel,20,101,6,iOS,1,0,0
T100398,166.77,UPI,Electronics,39,111,23,Android,1,0,0
T100399,168.56,UPI,Electronics,23,8,22,iOS,1,0,0
T100400,13.06,UPI,Utility,19,106,16,Android,1,0,0
T100401,279.41,UPI,Retail,40,58,19,Web,0,0,0
T100402,84.44,UPI,Utility,61,16,14,Android,1,0,0
T100403,210.16,Card,Food,19,72,19,Android,1,0,0
T100404,46.29,UPI,Travel,55,1,3,Android,1,0,0
T100405,271.05,NEFT,Food,34,108,10,Android,1,0,0
T100406,59.16,NEFT,Electronics,52,5,19,Android,1,0,0
T100407,1.31,UPI,Utility,51,3,9,Android,0,0,0
T100408,282.95,UPI,Utility,40,65,20,Web,1,0,0
T100409,11.49,UPI,Utility,47,4,13,Android,1,0,0
T100410,46.16,Card,Food,69,104,7,Android,1,0,0
T100411,359.64,UPI,Electronics,25,99,14,Android,1,0,1
T100412,360.95,Card,Travel,39,96,9,Android,1,0,0
T100413,102.24,UPI,Travel,61,64,23,Android,1,1,1
T100414,119.91,Card,Food,53,106,19,Android,1,0,0
T100415,71.4,UPI,Utility,22,98,15,Android,1,0,0
T100416,41.64,UPI,Retail,30,107,20,Android,1,0,0
T100417,47.82,IMPS,Food,46,89,14,Android,1,0,0
T100418,133.96,NEFT,Food,48,10,24,iOS,1,0,0
T100419,167.5,UPI,Electronics,64,21,6,Android,1,0,0
T100420,188.18,NEFT,Travel,74,46,21,Android,1,0,0
T100421,187.06,Card,Food,72,103,4,Web,1,0,0
T100422,11.48,NEFT,Food,33,91,8,Android,1,0,0
T100423,81.85,NEFT,Utility,59,27,17,iOS,1,1,1
T100424,7.11,UPI,Utility,47,66,9,Android,1,0,0
T100425,95.7,UPI,Retail,74,41,1,iOS,0,1,0
T100426,69.91,UPI,Electronics,72,112,24,iOS,1,0,0
T100427,262.39,Card,Retail,33,13,20,Android,1,0,0
T100428,51.86,Card,Utility,29,9,14,Web,1,0,1
T100429,14.94,UPI,Travel,34,116,11,Android,1,0,0
T100430,18.52,UPI,Utility,33,36,21,Android,1,0,0
T100431,172.01,NEFT,Electronics,29,86,3,iOS,1,1,1
T100432,115.55,IMPS,Utility,25,106,9,Web,1,0,0
T100433,12.79,Card,Electronics,37,90,14,Android,1,0,0
T100434,10.54,UPI,Electronics,20,58,9,Android,1,0,0
T100435,144.87,UPI,Electronics,33,54,4,Android,1,0,0
T100436,9.07,UPI,Electronics,47,12,4,Android,1,1,1
T100437,207.02,IMPS,Electronics,62,81,8,iOS,1,0,0
T100438,147.0,UPI,Travel,40,78,2,Android,1,0,0
T100439,10.18,Card,Retail,45,14,9,Android,1,0,0
T100440,10.64,UPI,Food,68,34,14,Android,1,0,0
T100441,517.86,Card,Retail,57,53,22,Android,1,1,0
T100442,56.26,Card,Electronics,71,20,9,Android,0,0,0
T100443,55.57,NEFT,Travel,22,75,24,iOS,1,0,1
